City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
126,Klaksvik,62.2266,-6.589,43.72,78,100,22.35,overcast clouds,FO
127,Hambantota,6.1241,81.1185,76.46,90,86,3.4,overcast clouds,LK
128,Mundo Nuevo,18.7,-95.5,73.96,85,86,12.35,overcast clouds,MX
129,Alvorada,-12.48,-49.1247,71.4,94,38,5.59,scattered clouds,BR
130,Mbarara,-0.608,30.65,63.86,67,98,3.71,overcast clouds,UG
131,Caravelas,-17.7125,-39.2481,77.4,83,100,5.46,overcast clouds,BR
132,Mayo,38.8876,-76.5119,54.43,79,0,6.91,clear sky,US
133,Tura,25.5198,90.2201,63.01,36,4,3.27,clear sky,IN
134,Mahebourg,-20.4081,57.7,80.26,94,75,13.8,broken clouds,MU
135,Georgetown,5.4112,100.3354,80.53,87,20,4.61,few clouds,MY
136,Houston,29.7633,-95.3633,76.48,79,100,13.8,overcast clouds,US
137,Mazagao,-0.115,-51.2894,78.85,96,100,4.16,moderate rain,BR
138,Shelburne,44.0787,-80.2041,32.79,78,100,9.8,overcast clouds,CA
139,Cockburn Town,21.4612,-71.1419,75.79,78,33,27.47,scattered clouds,TC
140,Muros,42.7762,-9.0603,47.23,69,5,16.4,clear sky,ES
141,Nhulunbuy,-12.2333,136.7667,88.41,66,40,10.36,scattered clouds,AU
142,Bambous Virieux,-20.3428,57.7575,80.22,94,75,13.8,light rain,MU
143,Upernavik,72.7868,-56.1549,-3.69,96,43,7.7,scattered clouds,GL
144,Kutum,14.2,24.6667,69.4,14,14,3.94,few clouds,SD
145,Leshukonskoye,64.8989,45.7622,0.14,98,100,3.15,overcast clouds,RU
146,Faanui,-16.4833,-151.75,81.9,71,6,15.28,light rain,PF
147,Jumla,29.2747,82.1838,39.0,20,8,6.42,clear sky,NP
148,Pangnirtung,66.1451,-65.7125,-0.09,91,100,0.69,overcast clouds,CA
149,Lompoc,34.6391,-120.4579,56.37,66,100,19.57,overcast clouds,US
150,East London,-33.0153,27.9116,69.39,85,99,13.33,overcast clouds,ZA
151,Townsville,-19.25,146.8,90.48,62,40,10.36,scattered clouds,AU
152,Lasa,46.6166,10.7002,28.02,91,98,1.1,overcast clouds,IT
153,La Ronge,55.1001,-105.2842,21.45,35,20,1.14,few clouds,CA
154,Mahon,39.8885,4.2658,50.56,76,0,8.05,clear sky,ES
155,Verkhnyaya Inta,65.9811,60.3094,-26.09,98,21,7.34,few clouds,RU
156,Ghanzi,-21.5667,21.7833,66.52,78,100,10.92,overcast clouds,BW
157,Esperance,-33.8667,121.9,69.44,68,29,7.9,scattered clouds,AU
158,Tiksi,71.6872,128.8694,-8.48,91,15,9.31,few clouds,RU
159,Kapaa,22.0752,-159.319,76.12,64,100,9.22,overcast clouds,US
160,Samarai,-10.6167,150.6667,85.86,71,94,15.93,overcast clouds,PG
161,Sorland,67.667,12.6934,37.6,82,100,34.18,light rain,NO
162,Nouakchott,18.0858,-15.9785,66.13,54,0,13.56,clear sky,MR
163,Les Cayes,18.2,-73.75,75.06,81,12,4.09,few clouds,HT
164,Souillac,-20.5167,57.5167,80.37,94,75,13.8,broken clouds,MU
165,Shahr-E Kord,32.3256,50.8644,33.57,37,0,4.61,clear sky,IR
166,Ancud,-41.8697,-73.8203,54.43,83,98,15.66,light rain,CL
167,Kamenka,51.3223,42.7678,24.75,92,100,15.55,overcast clouds,RU
168,Vao,-22.6667,167.4833,78.8,78,33,12.8,scattered clouds,NC
169,Fortuna,40.5982,-124.1573,53.47,77,27,8.01,scattered clouds,US
170,Zhuhai,22.2769,113.5678,71.83,82,40,13.8,scattered clouds,CN
171,Narsaq,60.9167,-46.05,26.82,93,100,7.27,snow,GL
172,Batemans Bay,-35.7167,150.1833,72.91,85,100,12.8,light rain,AU
173,Oussouye,12.485,-16.5469,73.83,39,100,8.75,overcast clouds,SN
174,Morant Bay,17.8815,-76.4093,82.02,84,14,11.95,few clouds,JM
175,Praia Da Vitoria,38.7333,-27.0667,62.85,88,75,4.27,broken clouds,PT
176,Cabo San Lucas,22.8909,-109.9124,73.71,70,0,9.22,clear sky,MX
177,Liverpool,53.4106,-2.9779,39.69,83,75,9.22,broken clouds,GB
178,Kloulklubed,7.0419,134.2556,81.1,77,46,12.97,scattered clouds,PW
179,Poli,-3.3333,36.8,61.02,76,56,2.48,broken clouds,TZ
180,Cranbrook,49.4999,-115.7688,30.24,92,30,2.26,scattered clouds,CA
181,Zwedru,6.0667,-8.1281,73.85,97,12,3.42,few clouds,LR
182,Puerto Escondido,15.85,-97.0667,81.43,74,75,5.75,broken clouds,MX
183,Bethel,41.3712,-73.414,38.91,68,0,4.61,clear sky,US
184,Gorontalo,0.5412,123.0595,82.94,81,94,3.29,overcast clouds,ID
185,Jalapa,19.5333,-96.9167,60.06,91,71,2.84,broken clouds,MX
186,Talnakh,69.4865,88.3972,-30.87,99,48,4.09,scattered clouds,RU
187,Saint-Pierre,-21.3393,55.4781,78.44,78,0,5.75,clear sky,RE
188,Anuradhapura,8.3565,80.4173,70.68,94,100,1.77,overcast clouds,LK
