City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Fortuna,US,53.47,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
175,Praia Da Vitoria,PT,62.85,broken clouds,38.7333,-27.0667,Hotel Branco I
179,Poli,TZ,61.02,broken clouds,-3.3333,36.8,Urafiki House
185,Jalapa,MX,60.06,broken clouds,19.5333,-96.9167,Hotel Mision Xalapa Plaza de las Convenciones
198,Lagoa,PT,61.25,overcast clouds,39.05,-27.9833,Casa Das Faias
206,Coihaique,CL,50.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
207,Mar Del Plata,AR,69.1,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
212,Griffith,US,66.13,overcast clouds,41.5284,-87.4237,Apartment above Depot Bar
216,Torbat-E Jam,IR,52.79,overcast clouds,35.244,60.6225,White building
217,Chaves,US,66.61,clear sky,33.3834,-104.4505,Red Barn RV Park
221,Marsabit,KE,69.19,broken clouds,2.3284,37.9899,Chicho Hotel
224,Chhaprauli,IN,57.24,overcast clouds,29.2167,77.1833,झ
228,Misratah,LY,56.75,clear sky,32.3754,15.0925,Almasa Hotel
231,Borazjan,IR,61.93,clear sky,29.2666,51.2159,شرکت زرمهریار شعبه سوم
237,Anamur,TR,50.02,overcast clouds,36.0751,32.8369,Luna Piena Beach Hotel
247,Nishihara,JP,66.25,broken clouds,26.1842,127.7558,Minshuku Agaihama
252,Dolores,AR,64.89,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
254,Fukuma,JP,50.29,clear sky,33.7667,130.4667,Masago
255,Canandaigua,US,46.17,overcast clouds,42.8742,-77.288,"Holiday Inn Express Canandaigua - Finger Lakes, an IHG Hotel"
259,Garhi Khairo,PK,68.54,scattered clouds,28.0606,67.9803,Old Hostel Garhi Khairo
263,Ankang,CN,52.5,light rain,32.68,109.0172,安琪酒店
270,Mashhad,IR,48.34,scattered clouds,36.297,59.6062,Khanye Sabz Hotel
275,Tezu,IN,65.21,clear sky,27.9167,96.1667,Circuit House
281,Alexandria,EG,56.17,overcast clouds,31.2156,29.9553,Royal Crown Hotel
287,Darnah,LY,59.07,overcast clouds,32.767,22.6367,فندق الفردوس
290,Leiyang,CN,58.8,overcast clouds,26.4024,112.8591,Dongyang Hotel
292,Diego De Almagro,CL,69.58,clear sky,-26.3667,-70.05,hotel luna del desierto
295,Linhai,CN,47.08,overcast clouds,28.85,121.1167,Linhai S&N International Hotel
298,Hun,LY,53.06,clear sky,29.1268,15.9477,Alrwasi Hotel
303,Hasaki,JP,50.4,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
308,Sayyan,YE,51.49,clear sky,15.1718,44.3244,ملاطف ابوحورية
314,Decatur,US,64.71,overcast clouds,39.8403,-88.9548,Haworth Cottage
315,Issenye,TZ,62.58,clear sky,-2.0,34.3333,
319,Barcelos,PT,47.68,few clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
329,Paracatu,BR,67.5,few clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
330,Nouadhibou,MR,62.58,sand,20.931,-17.0347,El Medina
336,Port Hardy,CA,47.75,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
348,Victor Harbor,AU,69.89,broken clouds,-35.5667,138.6167,McCracken Country Club
353,Jalu,LY,60.13,clear sky,29.0331,21.5482,صاحبة الفخامة
360,Virginia Beach,US,59.11,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
362,Taltal,CL,68.61,scattered clouds,-25.4,-70.4833,Residencial Karime
382,Buraydah,SA,61.25,overcast clouds,26.326,43.975,Mövenpick Qassim
383,Meadow Lake,US,57.29,clear sky,34.8014,-106.5436,TumbleWeed RV Park
384,West Richland,US,56.17,clear sky,46.3043,-119.3614,Horn Rapids RV Resort
391,San Quintin,MX,56.55,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
394,Baghdad,IQ,48.11,clear sky,33.3406,44.4009,Baghdad Hotel
395,Tukrah,LY,58.64,clear sky,32.5341,20.5791,Lagrota restaurant
398,Kabare,CD,60.67,overcast clouds,-2.4683,28.8242,Hôtel Panorama
402,Eloy,US,68.88,clear sky,32.7559,-111.5548,Eloy RV & Mobile Home Park
409,Nokaneng,BW,68.18,moderate rain,-19.6667,22.2667,
412,Hojo,JP,48.49,few clouds,33.9766,132.7777,Seapa Makoto
