City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Belmonte,BR,2022-03-03 17:29:25,-15.8631,-38.8828,82.4,68,97,7.58
107,Amli,IN,2022-03-03 17:28:24,20.2833,73.0167,79.66,24,6,3.8
108,Port Blair,IN,2022-03-03 17:29:25,11.6667,92.75,80.64,89,20,2.3
109,Haradok,BY,2022-03-03 17:29:26,55.4624,29.9816,30.31,87,98,4.76
110,Dingle,PH,2022-03-03 17:29:26,10.9995,122.6711,75.51,91,10,8.84
111,Dikson,RU,2022-03-03 17:29:27,73.5069,80.5464,-4.34,94,100,10.56
112,Kahului,US,2022-03-03 17:29:27,20.8947,-156.47,72.84,87,20,3.44
113,Berdigestyakh,RU,2022-03-03 17:29:28,62.0989,126.6992,-10.95,99,100,2.86
114,Balykshi,KZ,2022-03-03 17:29:28,47.0667,51.8667,46.4,66,72,24.61
115,Henties Bay,NA,2022-03-03 17:29:29,-22.116,14.2845,63.86,77,2,12.41
116,Fertoszentmiklos,HU,2022-03-03 17:29:29,47.59,16.8752,42.22,43,33,7.72
117,Haapiti,PF,2022-03-03 17:29:30,-17.5667,-149.8667,78.53,73,4,13.78
118,Avera,US,2022-03-03 17:29:30,33.194,-82.5271,80.69,31,0,10.18
119,Ojinaga,MX,2022-03-03 17:29:31,29.5667,-104.4167,75.58,37,0,3.44
120,Souillac,MU,2022-03-03 17:29:31,-20.5167,57.5167,80.37,94,75,4.61
121,Saint-Philippe,RE,2022-03-03 17:29:31,-21.3585,55.7679,80.19,88,58,8.3
122,Kaitangata,NZ,2022-03-03 17:29:32,-46.2817,169.8464,53.6,97,100,4.63
123,Hay River,CA,2022-03-03 17:28:07,60.8156,-115.7999,8.58,66,100,4.61
124,Juneau,US,2022-03-03 17:29:32,58.3019,-134.4197,31.21,94,40,0.0
125,Silvan,TR,2022-03-03 17:29:32,38.1419,41.0081,44.89,87,100,3.49
126,Nikolskoye,RU,2022-03-03 17:29:33,59.7035,30.7861,35.87,99,100,4.43
127,Zemio,CF,2022-03-03 17:29:34,5.0314,25.1361,84.88,37,73,5.59
128,Antofagasta,CL,2022-03-03 17:28:43,-23.65,-70.4,74.21,60,54,8.12
129,Erzin,TR,2022-03-03 17:29:34,36.9559,36.2,50.72,92,100,10.71
130,Adrar,MR,2022-03-03 17:29:35,20.5022,-10.0711,79.5,9,0,18.14
131,Kawalu,ID,2022-03-03 17:29:35,-7.3817,108.2082,72.61,96,100,0.83
132,Bilibino,RU,2022-03-03 17:29:36,68.0546,166.4372,-13.2,99,65,4.63
133,Rabo De Peixe,PT,2022-03-03 17:29:36,37.8,-25.5833,60.31,59,20,8.05
134,San Quintin,MX,2022-03-03 17:29:36,30.4833,-115.95,63.73,55,0,8.34
135,Codrington,AU,2022-03-03 17:29:37,-38.2667,141.9667,70.0,65,100,7.76
136,San Carlos De Bariloche,AR,2022-03-03 17:29:37,-41.1456,-71.3082,67.75,42,40,27.63
137,Coihaique,CL,2022-03-03 17:29:37,-45.5752,-72.0662,58.95,44,40,17.27
138,Aripuana,BR,2022-03-03 17:30:38,-9.1667,-60.6333,89.53,57,87,0.89
139,New Norfolk,AU,2022-03-03 17:30:38,-42.7826,147.0587,63.91,73,87,2.73
140,Progreso,MX,2022-03-03 17:30:39,21.2833,-89.6667,83.1,58,1,11.61
141,Oxbow,CA,2022-03-03 17:30:39,49.2333,-102.1676,4.95,76,99,8.66
142,Boguchany,RU,2022-03-03 17:30:39,58.3814,97.4531,9.39,98,100,1.83
143,Katherine,AU,2022-03-03 17:30:40,-14.4667,132.2667,82.72,78,40,3.44
144,Georgetown,MY,2022-03-03 17:26:05,5.4112,100.3354,81.95,93,20,3.44
145,Mar Del Plata,AR,2022-03-03 17:30:40,-38.0023,-57.5575,77.02,81,0,21.0
146,Sinnamary,GF,2022-03-03 17:30:41,5.3833,-52.95,79.14,88,96,9.69
147,Diego De Almagro,CL,2022-03-03 17:30:41,-26.3667,-70.05,82.9,28,1,13.96
148,Ewo,CG,2022-03-03 17:30:42,-0.8725,14.8206,77.95,73,99,5.88
149,Ahipara,NZ,2022-03-03 17:25:23,-35.1667,173.1667,63.3,75,31,10.51
150,Banjar,ID,2022-03-03 17:28:36,-8.19,114.9675,80.46,93,99,0.4
151,Tommot,RU,2022-03-03 17:30:42,58.9564,126.2925,7.56,97,100,1.52
152,Mattru,SL,2022-03-03 17:30:43,7.6244,-11.8332,87.82,48,70,8.66
153,Kirakira,SB,2022-03-03 17:30:43,-10.4544,161.9205,80.78,83,99,6.62
154,Khandyga,RU,2022-03-03 17:30:44,62.6667,135.6,-21.1,100,99,2.53
155,Sicuani,PE,2022-03-03 17:30:44,-14.2694,-71.2261,57.38,60,92,8.43
156,Esperance,AU,2022-03-03 17:30:44,-33.8667,121.9,57.04,67,43,12.1
157,Ponce,PR,2022-03-03 17:28:54,18.073,-66.6185,83.73,79,27,8.63
158,Guerrero Negro,MX,2022-03-03 17:30:45,27.9769,-114.0611,67.98,42,100,5.5
159,Labrea,BR,2022-03-03 17:30:45,-7.2586,-64.7981,83.14,75,99,1.39
160,Fukue,JP,2022-03-03 17:30:46,32.6881,128.8419,51.51,47,0,5.12
161,Port Elizabeth,ZA,2022-03-03 17:30:46,-33.918,25.5701,71.1,94,20,6.91
162,Tiksi,RU,2022-03-03 17:30:46,71.6872,128.8694,-22.27,100,97,2.13
163,Hamilton,US,2022-03-03 17:26:07,39.1834,-84.5333,43.72,70,100,10.36
164,Along,IN,2022-03-03 17:30:47,28.1667,94.7667,56.75,69,5,1.86
165,Taitung,TW,2022-03-03 17:30:47,22.7583,121.1444,70.75,86,91,2.59
166,Bluff,NZ,2022-03-03 17:30:48,-46.6,168.3333,57.79,92,100,7.36
167,Fenoarivo,MG,2022-03-03 17:30:48,-18.933,47.4354,66.27,94,75,2.3
168,Villa Carlos Paz,AR,2022-03-03 17:30:49,-31.4241,-64.4978,88.05,38,38,15.01
169,Lagoa,PT,2022-03-03 17:30:49,39.05,-27.9833,59.09,69,93,15.59
170,Rocha,UY,2022-03-03 17:30:49,-34.4833,-54.3333,76.39,43,7,11.16
171,Contamana,PE,2022-03-03 17:30:50,-7.3333,-75.0167,85.98,58,99,5.26
172,Flinders,AU,2022-03-03 17:30:50,-34.5833,150.8552,72.21,95,88,7.0
173,Palmer,US,2022-03-03 17:25:52,42.1584,-72.3287,39.67,43,40,20.71
174,Grindavik,IS,2022-03-03 17:30:51,63.8424,-22.4338,37.87,87,40,16.11
175,Chalus,IR,2022-03-03 17:30:51,36.655,51.4204,54.86,94,100,2.3
176,Magnolia,US,2022-03-03 17:27:56,33.2671,-93.2393,74.46,40,38,2.89
177,Gat,IL,2022-03-03 17:27:49,31.61,34.7642,57.88,100,22,13.06
